Lab ID,File 1,File 2,Similarity (%),Hash Similarity (%),Structural Similarity (%),Token Similarity (%),Embedding Similarity (%),TF-IDF Similarity (%)
lab1,8888888-8,777-7,51.69,0.00,47.37,46.42,98.28,28.11
lab1,8888888-8,673333333-3,31.47,0.00,22.45,36.05,97.28,25.77
lab1,8888888-8,673-3,31.47,0.00,22.45,36.05,97.28,25.77
lab1,8888888-8,671-1,31.47,0.00,22.45,36.05,97.28,25.77
lab1,777-7,673333333-3,61.39,0.00,57.89,69.34,95.57,48.60
lab1,777-7,673-3,61.39,0.00,57.89,69.34,95.57,48.60
lab1,777-7,671-1,61.39,0.00,57.89,69.34,95.57,48.60
lab1,673333333-3,673-3,100.00,100.00,100.00,100.00,100.00,100.00
lab1,673333333-3,671-1,100.00,100.00,100.00,100.00,100.00,100.00
lab1,673-3,671-1,100.00,100.00,100.00,100.00,100.00,100.00
lab3,22-2,11-1,46.23,0.00,55.91,76.83,98.43,67.97
lab3,22-2,9999999-9,41.48,0.00,42.31,54.80,97.16,42.55
lab3,11-1,9999999-9,44.60,0.00,34.92,64.72,96.48,47.94
lab2,66543222010-0,672-2,31.00,0.00,22.68,73.99,97.06,55.23
